,0,1
3149,"35.77215225,139.80340432",弥生町
3150,"35.77891247,139.78261332",西新井車庫
3151,"35.77808091,139.78373991",栗原町
3152,"35.77835564,139.79188504",梅島三
3153,"35.77860650,139.80098854",東部病院
3154,"35.77674185,139.79755632",梅島二
3155,"35.78113406,139.80307693",島根町
3156,"35.78459657,139.79770863",島根二
3157,"35.78703849,139.80288932",六月町
3158,"35.78930165,139.80132321",保木間公園
3159,"35.78946643,139.80666392",保木間一
3160,"35.79280815,139.80089738",保木間仲通り
3161,"35.78623229,139.78284313",西新井三
3162,"35.78383897,139.75196573",産業道路東
3163,"35.76276626,139.75836211",宮城土手上
3164,"35.79224269,139.77010499",皿沼二
3165,"35.78794502,139.77936421",足立工高前
3166,"35.79494557,139.79781507",竹の塚四
3167,"35.79298098,139.79431073",公園前
3168,"35.78920886,139.79777161",増田橋
3169,"35.79282916,139.79815330",旧道交差点
3170,"35.78707166,139.79777288",六月町
3171,"35.79130419,139.80256875",保木間一
3172,"35.77841851,139.75647929",鹿浜三交差点
3173,"35.78364154,139.76432386",谷在家公園
3174,"35.78471278,139.76902402",谷在家
3175,"35.78316290,139.77926420",第ニ団地西通り
3176,"35.78617319,139.78117278",第三団地入口
3177,"35.78259994,139.78130050",第ニ団地
3178,"35.78108212,139.79765269",島根三
3179,"35.77914346,139.79760728",中島根
3180,"35.77864498,139.80635865",本町五
3181,"35.76906485,139.80873503",四ッ家町
3182,"35.76959895,139.80355050",都立足立高
3183,"35.76388789,139.80381281",千住車庫
3184,"35.76711951,139.80709300",末広町
3185,"35.76524738,139.80869347",五反野駅
3186,"35.77858512,139.75340340",鹿浜三
3187,"35.77537341,139.80324047",足立区役所前
3188,"35.77808687,139.77694056",第五中裏
3189,"35.77419843,139.77207336",阿弥陀橋
3190,"35.77550770,139.78167795",病院前
3191,"35.77386442,139.78177578",西新井小前
3192,"35.76745530,139.78055435",興本センター前
3193,"35.76523399,139.78114389",本木小
3194,"35.76336856,139.78399134",本木新道
3195,"35.77847424,139.79703912",島根三
3196,"35.76998597,139.79585076",足立梅田町
3197,"35.76528154,139.79335143",梅島第二小通り
3198,"35.76357147,139.79253447",赤不動
3199,"35.76173244,139.79156311",放水路土手下
3200,"35.76190938,139.74736937",豊島四
3201,"35.76206328,139.75586301",宮城二
3202,"35.75763343,139.75344723",江南中
3203,"35.75532894,139.76285512",小台橋
3204,"35.75544402,139.79031780",桜木町
3205,"35.79388411,139.79001232",竹の塚駅西口
3206,"35.79421280,139.79122956",竹の塚駅東口
3207,"35.79086803,139.77941517",西新井消防署前
3208,"35.77322862,139.79748271",梅島駅
3209,"35.77820802,139.78796790",西新井警察署前
3210,"35.77999111,139.77013254",江北六団地入口
3211,"35.76957826,139.78088548",興野公団住宅
3212,"35.78917074,139.76215235",鹿浜八
3213,"35.77833717,139.75826833",鹿浜三交差点
3214,"35.76882156,139.76321781",荒川土手操車場
3215,"35.76937381,139.75218986",新田土手通り
3216,"35.76483169,139.74780970",トンボ鉛筆
3217,"35.76404304,139.75054931",豊島五団地
3218,"35.76031569,139.75722293",宮城小前
3219,"35.75980461,139.75282297",みやぎ水再生センター
3220,"35.75785903,139.75730835",宮城都住
3221,"35.77731304,139.80315265",小右衛門町
3222,"35.78175182,139.77013253",江北六団地
3223,"35.76447059,139.75737019",豊島橋
3224,"35.77721185,139.80543294",栗島住区センター
3225,"35.77710961,139.79670341",大正新道
3226,"35.78447141,139.80298346",平野町
3227,"35.77634797,139.76527996",上沼田中
3228,"35.78556777,139.76317805",押部
3229,"35.77662428,139.80189671",梅島二
3230,"35.78321260,139.75794379",鹿浜センター南
3231,"35.78360430,139.75404465",北鹿浜小南
3232,"35.78601194,139.75615879",鹿浜五団地
3233,"35.75682181,139.79904446",千住大川町
3234,"35.75502363,139.79841660",千住柳町
3235,"35.76885723,139.76644857",江北二
3236,"35.76579628,139.76733049",江北一
3237,"35.76488114,139.76830962",扇小北
3238,"35.75972723,139.77946737",足立六中入口
3239,"35.79223830,139.78732435",伊興区民事務所入口
3240,"35.77836300,139.86925782",しばられ地蔵
3241,"35.77438431,139.86628640",金町第二団地
3242,"35.76743446,139.84775247",亀有駅北口
3243,"35.76655439,139.87132207",金町三
3244,"35.78548355,139.85942106",リブレ京成
3245,"35.78653938,139.85055465",なかよし通り
3246,"35.77747948,139.85455259",二丁目西
3247,"35.77654884,139.85526625",富士神社入口
3248,"35.77628067,139.85654383",一丁目北
3249,"35.77545487,139.85685256",一丁目南
3250,"35.78881882,139.78629129",栗原北小北
3251,"35.78237091,139.78905725",栗原立体交差東
3252,"35.77294434,139.79848349",梅島駅入口
3253,"35.78124336,139.78556156",栗原三
3254,"35.78687170,139.78403201",いかづち公園前
3255,"35.78860257,139.78341251",第三団地東
3256,"35.79174746,139.78301438",伊興地域学習センター東
3257,"35.79475693,139.78269133",伊興三
3258,"35.78926140,139.76021139",加賀一
3259,"35.78269571,139.77722903",西新井六
3260,"35.78277140,139.77467806",水野病院前
3261,"35.78287320,139.77182806",西新井中前
3262,"35.78300017,139.76958654",西新井大師西駅
3263,"35.75685908,139.80303343",学びピア前
3264,"35.78551616,139.78590077",栗原四
3265,"35.76029879,139.77085749",扇大橋下
3266,"35.77162033,139.80220077",第四中北
3267,"35.78269138,139.80882256",平野小
3268,"35.78275458,139.80477191",平野住区センター
3269,"35.76928233,139.74775110",ハートアイランド西
3270,"35.77323184,139.76571073",上沼田アパート
3271,"35.78027258,139.79136832",ギャラクシティ東
3272,"35.77161739,139.76590386",江北四
3273,"35.77323184,139.76571073",上沼田第二都住
3274,"35.79444104,139.78801671",竹の塚駅入口
3275,"35.76922026,139.77069105",扇三
3276,"35.75650489,139.79231214",千住元町
3277,"35.75693077,139.79489185",大川町土手下
3278,"35.76171985,139.75545558",宮城交差点
3279,"35.76055539,139.75379939",みやぎ水再生センター前
3280,"35.75773157,139.75297014",宮城第三都住
3281,"35.75729401,139.75503402",江南公園
3282,"35.75629082,139.75765098",ラ・セーヌ小台公園前
3283,"35.75856625,139.76109617",江南住区センター前
3284,"35.76490062,139.76528147",江北橋下
3285,"35.75422651,139.80720869",荒川鉄橋
3286,"35.77373515,139.77037646",江北駅
3287,"35.77318642,139.77037265",江北四
3288,"35.75685491,139.76229667",小台一
3289,"35.77132589,139.80138726",梅島一
3290,"35.78599805,139.77766539",足立工業高南
3291,"35.77811268,139.79104609",西新井駅東口
3292,"35.77664695,139.78473091",西新井駅入口
3293,"35.76056775,139.78590979",いずみ記念病院入口
3294,"35.77802403,139.78120781",西新井大師
3295,"35.76098921,139.78590799",いずみ記念病院前
3296,"35.75908134,139.75885893",小台二北
3297,"35.78168315,139.78354497",第一団地
3298,"35.76627089,139.74794073",新豊橋
3299,"35.78316001,139.76523043",東京北部病院
3300,"35.78309913,139.76305233",江北七
3301,"35.77609667,139.78999873",西新井駅
3302,"35.79312590,139.77946529",西伊興小前
