,0,1
0,"35.70189169,139.63615728",阿佐谷南一
1,"35.67560562,139.67108288",幡ヶ谷原町
2,"35.68153587,139.64221644",大宮町
3,"35.67973228,139.63692255",西永福
4,"35.70276885,139.62832232",天沼
5,"35.67353942,139.66389647",笹塚二
6,"35.68350029,139.66939998",南台三
7,"35.69998603,139.63424654",杉並都税事務所
8,"35.68943380,139.66892257",富士高
9,"35.68105744,139.66967227",新山小
10,"35.68620385,139.66916794",南中野地域センター
11,"35.67276995,139.66114200",代田橋
12,"35.67755331,139.67047339",笹塚中
13,"35.67634309,139.66712000",富士見丘学園
14,"35.67496612,139.66343449",笹塚三
15,"35.70161708,139.63046826",阿佐ヶ谷南三
16,"35.70465201,139.63666864",阿佐ヶ谷駅
17,"35.70445082,139.62482900",荻窪公団アパート前
18,"35.67424080,139.66629165",笹塚
19,"35.68309880,139.66120147",南部高齢者会館
20,"35.69169475,139.69926274",新宿駅西口
21,"35.73636979,139.66001492",保健相談所前
22,"35.69960262,139.63568735",杉並区役所前
23,"35.67323691,139.76207717",数寄屋橋
24,"35.75098314,139.80414488",北千住駅西口
25,"35.74233644,139.84900450",葛飾区役所
26,"35.71149543,139.79879451",都営浅草駅
27,"35.71149516,139.77659634",上野駅
28,"35.78402538,139.28473489",河辺駅南口
29,"35.75426050,139.28800863",菅生
30,"35.75681344,139.28338684",上菅生
31,"35.75762504,139.27701273",菅生高
32,"35.73087722,139.72966972",大塚駅
33,"35.68927444,139.70149722",新宿駅新南口
34,"35.67918695,139.76834472",東京駅八重洲口
35,"35.69214170,139.63677973",和田堀公園入口
36,"35.70964552,139.63556289",阿佐谷北一
37,"35.70343172,139.64974293",高円寺南四
38,"35.68500077,139.66334015",栄橋
39,"35.67891924,139.65738310",釜寺
40,"35.67396805,139.67437653",幡ヶ谷折返所
41,"35.67222197,139.67280274",消防学校前
42,"35.68924675,139.66230629",母子寮前
43,"35.67865750,139.77312083",東京駅八重洲通り
44,"35.67942639,139.76567278",東京営業所
45,"35.62701250,139.77866445",東京テレポート駅
46,"35.69226500,139.69842889",新宿駅西口（27番のりば）
47,"35.70626973,139.66556374",中野駅
48,"35.65537104,139.75621972",浜松町バスターミナル
49,"35.63284669,139.73798480",品川バスターミナル
50,"35.62539983,139.77153375",ホテルグランパシフィック
51,"35.69226500,139.69842889",新宿西口
52,"35.69128384,139.69193977",ハイアットリージェンシー東京
53,"35.69109667,139.69676778",新宿センタービルウィラーステーション
54,"35.64558222,139.82624333",新木場駅
55,"35.69083667,139.69823111",新宿駅西口
56,"35.69034620,139.69119357",ホテルセンチュリーハイアット前
57,"35.68370223,139.77039371",東京駅日本橋口
58,"35.68855002,139.70244493",新宿駅新南口
59,"35.69243722,139.69796056",新宿
60,"35.71318667,139.36066445",昭島駅
61,"35.69916194,139.41244500",立川駅北口
62,"35.70230694,139.41297083",パレスホテル立川
63,"35.73215750,139.41862111",玉川上水駅
64,"35.68281325,139.76567267",東京駅（日本橋口）
65,"35.68855002,139.70244493",関ノ城
66,"35.64558222,139.82624333",鈴張
67,"35.67359083,139.74937028",霞が関
68,"35.68247083,139.77374083",東京駅日本橋口
69,"35.68047472,139.76518972",東京駅八重洲南口
70,"35.68251750,139.65207008",八幡通り
71,"35.68851016,139.64168794",松ノ木住宅
72,"35.69031905,139.62219610",高井戸境
73,"35.68195027,139.63258687",浜田山四
74,"35.68290954,139.64273412",大宮八幡前
75,"35.71136741,139.62469733",稲荷横町
76,"35.70947111,139.65087197",高円寺通
77,"35.69646170,139.64724359",大法寺前
78,"35.68648110,139.65607882",和田堀橋
79,"35.67563735,139.65908066",和泉一
80,"35.67754955,139.67734219",幡ヶ谷
81,"35.68375702,139.65904155",峰
82,"35.68645227,139.67192759",東大附属
83,"35.68699974,139.67621718",弥生町二
84,"35.68882582,139.68221331",本町三
85,"35.69765702,139.67612844",本町三
86,"35.70653557,139.68285600",東中野駅
87,"35.70967282,139.68192806",正見寺
88,"35.69189147,139.65467597",堀ノ内
89,"35.69419647,139.66840723",十貫坂上
90,"35.69091514,139.66920329",中野車庫
91,"35.69155776,139.67827464",花見橋
92,"35.69164099,139.68177104",弥生町一
93,"35.69746781,139.66355619",東高円寺南一
94,"35.69748405,139.66812197",本町六
95,"35.69757398,139.67786273",宝仙寺
96,"35.70021263,139.67113810",中央四
97,"35.70239860,139.67195001",紅葉山公園下
98,"35.70137266,139.67866785",中野一
99,"35.70824127,139.66516502",中野区役所
100,"35.70963950,139.67040507",中野五
101,"35.69531470,139.62354358",西田端橋
102,"35.67951304,139.64593832",大宮台
103,"35.67889827,139.68142542",幡代
104,"35.70972074,139.65437380",大場通り
105,"35.70975978,139.65615196",大新横丁
106,"35.70985166,139.66080641",東京警察病院前
107,"35.70337405,139.65487338",高円寺南四
108,"35.69960262,139.63568735",杉並区役所
109,"35.69815285,139.63920369",梅里中央公園入口
110,"35.70352272,139.62226707",荻窪電話局
111,"35.69534054,139.64411578",松の木
112,"35.69178061,139.63390538",善福寺川緑地公園
113,"35.69351425,139.63999222",成田東
114,"35.68860273,139.65532242",堀ノ内二
115,"35.68465143,139.64253347",都立和田堀公園
116,"35.70849719,139.67932499",白桜小入口
117,"35.70466169,139.68259777",並木通り
118,"35.70529165,139.66549422",中野駅
119,"35.70052447,139.66435050",中野三
120,"35.70265981,139.66913595",中野保健所
121,"35.69754110,139.67099088",鍋屋横丁
122,"35.69746897,139.67001425",新中野駅
123,"35.69742214,139.66613571",中野天神
124,"35.69801498,139.65744814",東高円寺駅
125,"35.67149451,139.65211730",水道横丁
126,"35.70953928,139.66336413",体育館
127,"35.70676095,139.66351213",中野区役所
128,"35.70626973,139.66556374",中野駅北口
129,"35.68460601,139.66192826",広町住宅
130,"35.68570000,139.66562139",多田小
131,"35.68683884,139.66531241",弥生町五
132,"35.69144624,139.67441777",弥生町二
133,"35.67882220,139.67399476",七号通り
134,"35.68007019,139.67752198",六号通り
135,"35.68780508,139.67888501",本町四
136,"35.68106909,139.68057494",本町一
137,"35.70676031,139.63630292",世尊院前
138,"35.71075616,139.64609329",大和町三
139,"35.69809968,139.66749717",杉山公園
140,"35.70187839,139.67578706",堀越学園
141,"35.70551061,139.65084650",高円寺駅北口
142,"35.71091351,139.62251128",杉並第五小
143,"35.70994606,139.66507024",新井中野通り
144,"35.70852146,139.67566972",中野六
145,"35.70824127,139.66516502",中野区役所前
146,"35.70565459,139.65429999",杉並芸術会館座・高円寺前
147,"35.70295869,139.66684048",中野総合病院
148,"35.70023836,139.66177465",中央五
149,"35.70065031,139.65828146",高円寺南五
150,"35.69776896,139.64729104",新高円寺
151,"35.69570033,139.62738942",荻窪団地
152,"35.68797656,139.67260118",川島通り
153,"35.68537653,139.62325104",上高井戸四
154,"35.68458548,139.62727146",浜田山
155,"35.70545319,139.63657273",阿佐ヶ谷駅北口
156,"35.68764197,139.65705362",佼成会聖堂前
157,"35.69069651,139.62678444",五日市街道営業所
158,"35.67657062,139.64305972",永福町駅
159,"35.68334036,139.65661180",方南町
160,"35.70600305,139.65467971",高円寺駅入口
161,"35.70914523,139.67295983",紅葉山通
162,"35.70103085,139.68298089",宮下交差点
163,"35.69699674,139.68287725",中野坂上
164,"35.70170644,139.66671694",中央五
165,"35.70046321,139.65478863",高円寺体育館
166,"35.69808035,139.65459402",高円寺陸橋
167,"35.69545977,139.65439230",セシオン杉並
168,"35.69792748,139.65188035",杉並車庫前
169,"35.69107121,139.63101765",杉並二小
170,"35.69073378,139.62988981",豊多摩高
171,"35.68271056,139.64713001",大宮八幡入口
172,"35.68308721,139.65706719",方南八幡通り
173,"35.69025586,139.66464393",佼成行学園
174,"35.68235387,139.68272181",不動通り入口
175,"35.69773102,139.64311210",西馬橋
176,"35.69818848,139.71912109",東京女子医大
177,"35.71145127,139.72033079",グランド坂下
178,"35.71080729,139.72269751",早稲田
179,"35.69080108,139.72238459",荒木町
180,"35.69224719,139.72552496",合羽坂下
181,"35.70736112,139.72838519",都立新宿山吹高
182,"35.70832833,139.73146731",山吹町
183,"35.69112594,139.73120949",防衛省
184,"35.67089094,139.74267044",溜池
185,"35.70632293,139.74340373",大曲
186,"35.75270668,139.66742300",氷川台郵便局
187,"35.73754548,139.66850700",武蔵大
188,"35.74921097,139.66634874",氷川台駅
189,"35.74684108,139.66433022",桜台三
190,"35.72914409,139.66867125",江古田地域センター
191,"35.72656637,139.66826092",江古田三
192,"35.71579203,139.67121590",新井薬師駅
193,"35.73835928,139.66492927",練馬車庫
194,"35.72710672,139.66557618",合同住宅
195,"35.74836061,139.62210521",練馬総合体育館
196,"35.69655523,139.63500045",杉並税務署
197,"35.69518884,139.63408372",阿佐ヶ谷住宅南
198,"35.69652604,139.63221469",都立杉並高校
199,"35.69475148,139.63248609",善福寺川緑地
200,"35.69168988,139.63122567",三年坂
201,"35.68836217,139.63034506",児童交通公園入口
202,"35.68507136,139.62984377",浜田小学校
203,"35.68421922,139.62891444",浜田山小学校南
204,"35.68336733,139.62845270",浜田山みどりの里
205,"35.68305123,139.62585243",浜田山駅西
206,"35.68459844,139.62503894",人見街道入口
207,"35.70690020,139.68344171",東中野駅西口
208,"35.70287235,139.63640691",中杉通り
209,"35.69799107,139.63653076",水道局営業所
210,"35.70072744,139.64954801",福祉事務所
211,"35.69236332,139.64172981",松ノ木二
212,"35.69117487,139.64150191",松ノ木公園
213,"35.68205608,139.64429766",大宮町
214,"35.67635082,139.64357270",永福町
215,"35.67649029,139.68302289",代々木郵便局
216,"35.68399074,139.67501830",中幡幼稚園
217,"35.68688542,139.68061595",本町区民施設
218,"35.68807810,139.68211938",本町東小学校
219,"35.67381595,139.66830069",笹塚駅
220,"35.68181378,139.62757060",浜田山駅
221,"35.68151449,139.62677683",浜田山駅南
222,"35.68042937,139.62785817",柏の宮公園北
223,"35.67935851,139.62885510",鎌倉通り
224,"35.67759275,139.62816769",鎌倉橋坂上
225,"35.67633298,139.62751663",柏の宮公園入口
226,"35.67485818,139.62617921",塚山公園
227,"35.67408928,139.62509203",新山
228,"35.67273161,139.62469735",庚申堂
229,"35.67168958,139.62530784",上町
230,"35.67080190,139.62571728",旭橋
231,"35.67207092,139.62305346",上水公園
232,"35.67004174,139.62809226",ロイヤル病院
233,"35.68545092,139.67746454",本町五
234,"35.68564705,139.67889486",本町小学校
235,"35.67432477,139.66168291",泉南
236,"35.67283664,139.67160904",東京消防学校西
237,"35.68291212,139.66198759",みなとっぷ21
238,"35.68461471,139.66344099",中野養護学校
239,"35.69601446,139.67407208",新橋通り
240,"35.69451622,139.67430769",中野新橋交差点
241,"35.69274955,139.67444627",中野新橋駅
242,"35.69589740,139.63348837",中央広場
243,"35.69676324,139.63266289",阿佐ヶ谷住宅西
244,"35.67165350,139.62301013",区営住宅前
245,"35.70092732,139.68233639",東中野二
246,"35.69560426,139.63459276",阿佐ヶ谷住宅東
247,"35.69062949,139.63066597",鎌倉街道
248,"35.66999382,139.62680848",上北沢駅入口
249,"35.69312486,139.63139487",杉並第二小学校
250,"35.70495197,139.64977230",高円寺駅南口
251,"35.67796966,139.68693504",初台一
252,"35.68109280,139.68594329",新国立劇場初台駅入口
253,"35.68265277,139.68855650",東京オペラシティ南
254,"35.68003604,139.69389806",参宮橋
255,"35.68130075,139.69295039",代々木三
256,"35.68685002,139.68924661",十二社池の上
257,"35.68570967,139.69298324",文化服装学院前
258,"35.68977803,139.69511811",京王プラザホテル
259,"35.67390704,139.70573072",原宿外苑中
260,"35.67655469,139.71029700",千駄ヶ谷二
261,"35.67554140,139.71269518",霞ヶ丘団地
262,"35.67249936,139.71260148",神宮前二
263,"35.67493503,139.70692788",千駄ヶ谷小
264,"35.67827298,139.70566682",北参道
265,"35.69045516,139.69188562",都庁第一本庁舎
266,"35.68902740,139.69362006",新宿NSビル
267,"35.68889170,139.69221699",都庁第二本庁舎
268,"35.68801330,139.71334291",新宿一
269,"35.68999776,139.70670748",新宿三
270,"35.67216406,139.69126675",代々木神園町
271,"35.67033848,139.70290823",原宿駅
272,"35.67135169,139.70766386",神宮前一
273,"35.67631163,139.71272861",明治公園
274,"35.69205350,139.69112807",新宿住友ビル
