"35.68334036,139.65661180",方南町
"35.70600305,139.65467971",高円寺駅入口
"35.70914523,139.67295983",紅葉山通
"35.70103085,139.68298089",宮下交差点
"35.69699674,139.68287725",中野坂上
"35.70170644,139.66671694",中央五
"35.70046321,139.65478863",高円寺体育館
"35.69808035,139.65459402",高円寺陸橋
"35.69545977,139.65439230",セシオン杉並
"35.69792748,139.65188035",杉並車庫前
"35.69107121,139.63101765",杉並二小
"35.69073378,139.62988981",豊多摩高
"35.68271056,139.64713001",大宮八幡入口
"35.68308721,139.65706719",方南八幡通り
"35.69025586,139.66464393",佼成行学園
"35.68235387,139.68272181",不動通り入口
"35.69773102,139.64311210",西馬橋
"35.69818848,139.71912109",東京女子医大
"35.71145127,139.72033079",グランド坂下
"35.71080729,139.72269751",早稲田
"35.69080108,139.72238459",荒木町
"35.69224719,139.72552496",合羽坂下
"35.70736112,139.72838519",都立新宿山吹高
"35.70832833,139.73146731",山吹町
"35.69112594,139.73120949",防衛省
"35.67089094,139.74267044",溜池
"35.70632293,139.74340373",大曲
"35.75270668,139.66742300",氷川台郵便局
"35.73754548,139.66850700",武蔵大
"35.74921097,139.66634874",氷川台駅
"35.74684108,139.66433022",桜台三
"35.72914409,139.66867125",江古田地域センター
"35.72656637,139.66826092",江古田三
"35.71579203,139.67121590",新井薬師駅
"35.73835928,139.66492927",練馬車庫
"35.72710672,139.66557618",合同住宅
"35.74836061,139.62210521",練馬総合体育館
"35.69655523,139.63500045",杉並税務署
"35.69518884,139.63408372",阿佐ヶ谷住宅南
"35.69652604,139.63221469",都立杉並高校
"35.69475148,139.63248609",善福寺川緑地
"35.69168988,139.63122567",三年坂
"35.68836217,139.63034506",児童交通公園入口
"35.68507136,139.62984377",浜田小学校
"35.68421922,139.62891444",浜田山小学校南
"35.68336733,139.62845270",浜田山みどりの里
"35.68305123,139.62585243",浜田山駅西
"35.68459844,139.62503894",人見街道入口
"35.70690020,139.68344171",東中野駅西口
"35.70287235,139.63640691",中杉通り
"35.69799107,139.63653076",水道局営業所
"35.70072744,139.64954801",福祉事務所
"35.69236332,139.64172981",松ノ木二
"35.69117487,139.64150191",松ノ木公園
"35.68205608,139.64429766",大宮町
"35.67635082,139.64357270",永福町
"35.67649029,139.68302289",代々木郵便局
"35.68399074,139.67501830",中幡幼稚園
"35.68688542,139.68061595",本町区民施設
"35.68807810,139.68211938",本町東小学校
"35.67381595,139.66830069",笹塚駅
"35.68181378,139.62757060",浜田山駅
"35.68151449,139.62677683",浜田山駅南
"35.68042937,139.62785817",柏の宮公園北
"35.67935851,139.62885510",鎌倉通り
"35.67759275,139.62816769",鎌倉橋坂上
"35.67633298,139.62751663",柏の宮公園入口
"35.67485818,139.62617921",塚山公園
"35.67408928,139.62509203",新山
"35.67273161,139.62469735",庚申堂
"35.67168958,139.62530784",上町
"35.67080190,139.62571728",旭橋
"35.67207092,139.62305346",上水公園
"35.67004174,139.62809226",ロイヤル病院
"35.68545092,139.67746454",本町五
"35.68564705,139.67889486",本町小学校
"35.67432477,139.66168291",泉南
"35.67283664,139.67160904",東京消防学校西
"35.68291212,139.66198759",みなとっぷ21
"35.68461471,139.66344099",中野養護学校
"35.69601446,139.67407208",新橋通り
"35.69451622,139.67430769",中野新橋交差点
"35.69274955,139.67444627",中野新橋駅
"35.69589740,139.63348837",中央広場
"35.69676324,139.63266289",阿佐ヶ谷住宅西
"35.67165350,139.62301013",区営住宅前
"35.70092732,139.68233639",東中野二
"35.69560426,139.63459276",阿佐ヶ谷住宅東
"35.69062949,139.63066597",鎌倉街道
"35.66999382,139.62680848",上北沢駅入口
"35.69312486,139.63139487",杉並第二小学校
"35.70495197,139.64977230",高円寺駅南口
"35.67796966,139.68693504",初台一
