昌平橋/全話共通/昌平橋,ラブライブ！,東京都千代田区外神田一丁目,35.699042,139.770227
井荻駅南口/第１話　ひたぎクラブその２/井荻駅,化物語,東京都杉並区下井草5,35.723646,139.61542
新宿駅新南口又はサザンテラス口から南下した高島屋前の橋上より代々木駅方向/第１話　ひたぎクラブOP「staple stable」より,化物語,東京都渋谷区千駄ヶ谷5-24-2,35.685969,139.702483
サンシャイン60/第3話,デュラララ！,東京都豊島区東池袋3-1-1,35.729393,139.718113
東池袋公園/第3話,デュラララ！,東京都豊島区東池袋3丁目1,35.729032,139.719566
瑞穂郵便局/最終話/瑞穂郵便局,CLANNAD,東京都西多摩郡瑞穂町石畑1990-6,35.772633,139.356624
杏子の行きつけの店のラーメン & キュゥべえ杏仁豆腐が食べられる/銀座 鹿鳴春,劇場版 魔法少女まどかマギカ[新編]叛逆の物語,東京都千代田区外神田4-14-1秋葉原UDX3階,35.700947,139.769602
環八通井荻陸橋南側/環八通井荻陸橋,化物語,東京都杉並区今川1,35.717308,139.612262
聖路加ガーデンビル,化物語,東京都中央区明石町8-1,35.667037,139.778672
お台場の夢の大橋/お台場センタープロムナード,化物語,東京都江東区有明3,35.632841,139.793044
伝説の男、伊藤 誠が住んでる(いた)マンション,スクールデイズ,東京都国分寺市西恋ヶ窪3丁目,35.707423,139.472055
昭和記念公園,Kanon,東京都立川市緑町3173,35.70336,139.407888
みのりんのバイト先/ジョナサン下井草店,とらドラ！,東京都杉並区下井草5丁目1-7,35.719313,139.615889
ゲーマーズアキハバラ本店/1話/ゲーマーズアキハバラ本店,シュタインズ・ゲート（STEINS;GATE）,東京都千代田区外神田1丁目14-7宝田ビル,35.698323,139.771498
ワイズマート付近/6話/ワイズマート,シュタインズ・ゲート（STEINS;GATE）,東京都千代田区外神田4丁目14−1,35.700525,139.772508
キャラクター：戦艦「武蔵」/東郷神社が艦内神社,艦隊これくしょん（艦これ）,東京都渋谷区神宮前1−5−3,35.671807,139.705928
キャラクター：軽巡洋艦「多摩」/大國魂神社が艦内神社,艦隊これくしょん（艦これ）,東京都府中市宮町3−1,35.668157,139.479111
貴樹と明里が小学生のときに通っていた踏切/1話/小田急参宮橋1号踏切,秒速5センチメートル,東京都渋谷区代々木4-7,35.677961,139.692979
聖路加ガーデンビル,化物語,東京都中央区明石町8-1,35.667037,139.778672
伝説の男、伊藤 誠が住んでる(いた)マンション,スクールデイズ,東京都国分寺市西恋ヶ窪3丁目,35.707423,139.472055
昭和記念公園,Kanon,東京都立川市緑町3173,35.70336,139.407888
ワイズマート付近/6話/ワイズマート,シュタインズ・ゲート（STEINS;GATE）,東京都千代田区外神田4丁目14−1,35.700525,139.772508
キャラクター：戦艦「武蔵」/東郷神社が艦内神社,艦隊これくしょん（艦これ）,東京都渋谷区神宮前1−5−3,35.671807,139.705928
キャラクター：軽巡洋艦「多摩」/大國魂神社が艦内神社,艦隊これくしょん（艦これ）,東京都府中市宮町3−1,35.668157,139.479111
貴樹と明里が小学生のときに通っていた踏切/1話/小田急参宮橋1号踏切,秒速5センチメートル,東京都渋谷区代々木4-7,35.677961,139.692979
Pedi汐留と住友ビルの間の吹き抜けエレベータホール,化物語,東京都港区東新橋1,35.664248,139.759112
Pedi汐留の横にある階段,化物語,東京都港区東新橋1,35.664248,139.759112
1話 キリトとアスナのデートシーン2,ソードアート・オンライン2,東京都千代田区千代田1-1,35.687205,139.755041
東京ツインパークスビル,化物語,東京都港区東新橋1-10-2,35.660432,139.759779
「ららぽーと豊洲」海側の公園/第５話　つばさキャットOP/豊洲公園,化物語,東京都江東区豊洲2-3-6,35.653192,139.793694
電気街/全話共通/旧石丸電気前,ラブライブ！,東京都千代田区外神田 1丁目9番14号,35.698883,139.769847
秋葉原/全話共通/ベルサール秋葉原,ラブライブ！,東京都千代田区外神田3−12−8住友不動産秋葉原ビル,35.700029,139.770879
AOKI秋葉原店/1話/AOKI秋葉原店,シュタインズ・ゲート（STEINS;GATE）,東京都千代田区外神田1丁目13−3,35.699111,139.771663
愛三電機付近/6話/愛三電機,シュタインズ・ゲート（STEINS;GATE）,東京都千代田区外神田1-12-3,35.699522,139.771636
幻橙館付近/6話/橙幻郷 （トウゲンキョウ 【旧店名】 幻橙館）,シュタインズ・ゲート（STEINS;GATE）,東京都千代田区外神田3-2-7 石塚ﾋﾞﾙ,35.700536,139.770022
株式会社カスタム付近/6話/株式会社カスタム,シュタインズ・ゲート（STEINS;GATE）,東京都千代田区外神田3丁目6−12,35.702533,139.769977
先代エヴァンゲリオンの場所に設置されている化物語仕様のコインロッカー/アイランド秋葉原店,化物語,東京都千代田区外神田4‐4‐3ドン・キホーテビル１F・B１F,35.701336,139.771819
代々木公園中央広場桜並木/1話/代々木公園中央広場,秒速5センチメートル,東京都渋谷区代々木神園町2−1,35.672801,139.692596
Pedi汐留の横にある階段,化物語,東京都港区東新橋1,35.664248,139.759112
PV「Wonderful Rush」/13話/羽田空港,ラブライブ！,東京都大田区羽田空港3−3−2,35.550769,139.784181
神田ふれあい橋付近/2話/神田ふれあい橋,シュタインズ・ゲート（STEINS;GATE）,東京都千代田区神田須田町2丁目7−1,35.695925,139.773108
銀座線末広町駅付近/2話/銀座線末広町駅,シュタインズ・ゲート（STEINS;GATE）,東京都千代田区外神田4丁目7−3,35.702666,139.771974
秋葉原クレーン研究所付近/3話/秋葉原クレーン研究所,シュタインズ・ゲート（STEINS;GATE）,東京都千代田区外神田3丁目12-15チチブ電気ビル１F,35.700947,139.769602
タカオの通学路/全話共通/新宿駅13番ホーム,言の葉の庭,東京都新宿区新宿3丁目,35.690616,139.706271
I.G本社ビル一階でIGが経営しているレストラン、アクビちゃん、宇宙戦艦ヤマト、攻殻機動隊 … CLAMP、原恵一、黄瀬和哉…IG系作者の原画やサイン多数/武蔵野カンプス,進撃の巨人,東京都武蔵野市中町2-1-9I.Gビル 1F,35.705966,139.561697
都道4号線沿いの建物/765プロが入居するビル,THE IDOLM@STER,東京都杉並区成田東5-34 周辺,35.700446,139.632241
美琴がガチャポンに挑戦していた店//伊勢丹立川店,とある科学の超電磁砲,東京都立川市曙町2-5-1,35.699577,139.412876
豪徳寺駅/1話/豪徳寺駅,秒速5センチメートル,東京都世田谷区豪徳寺一丁目,35.65476,139.647953
上井草方面の１つ目の踏切から井荻駅方向/第３話　するがモンキーその１より,化物語,東京都杉並区下井草5,35.723646,139.61542
井荻駅から２つ目の踏切,化物語,東京都杉並区下井草,35.722957,139.624197
都道4号線沿いの建物/765プロが入居するビル,THE IDOLM@STER,東京都杉並区成田東5-34 周辺,35.700446,139.632241
,化物語,東京都江東区有明3,35.632841,139.793044
美琴がガチャポンに挑戦していた店//伊勢丹立川店,とある科学の超電磁砲,東京都立川市曙町2-5-1,35.699577,139.412876
下河原緑道/第1期3話/下河原緑道,ちはやふる,東京都府中市南町5-37,35.655969,139.468424
ファミリーマート外神田三丁目店付近/2話/ファミリーマート外神田三丁目店,シュタインズ・ゲート（STEINS;GATE）,東京都千代田区外神田3丁目1−13倉田ビル 1F,35.699946,139.77018
ずかちゃんがバイトしてる居酒屋/松亭,SHIROBAKO,東京都武蔵野市吉祥寺南町5丁目1−3,35.700971,139.586249
昭和記念公園,とある科学の超電磁砲S,東京都立川市緑町3173,35.70336,139.407888
豪徳寺駅/1話/豪徳寺駅,秒速5センチメートル,東京都世田谷区豪徳寺一丁目,35.65476,139.647953
天宮駅/全話共通/町田駅,デート・ア・ライブ,東京都町田市原町田,35.542032,139.448612
目標の地/全話共通/東京ドーム,アイドルマスターシンデレラガールズ,東京都文京区後楽1−3−61,35.704663,139.753342
とんかつ富貴/9話/とんかつ富貴,ラブライブ！,東京都千代田区外神田3-11-11,35.70035,139.770672
琴里の背景モチーフ/全話共通/原町田中央通り,デート・ア・ライブ,東京都町田市原町田6丁目,35.544148,139.446299
町田天満宮/PV、OP、4話/町田天満宮,デート・ア・ライブ,東京都町田市原町田1-21-5,35.538318,139.45169
藤宮さんがクレープ屋のチラシを受け取る/2話/京王聖蹟桜ヶ丘ショッピングセンター前,一週間フレンズ。,東京都多摩市関戸1-10-1,35.650204,139.447356
東京タワー,メルヘヴン,東京都港区芝公園4-2-8,,
秋葉原周辺,メルヘヴン,東京都千代田区外神田,,
早乙女学園のモデル/全話共通/恵比寿ガーデンプレイス,うたのプリンスさまっ,東京都渋谷区恵比寿4−20,35.643163,139.713234
帝光中学校/拓殖大学第一高等学校,黒子のバスケ,東京都武蔵村山市大南4-64-5,35.73329,139.413695
東京大学農正門/第３話の貝木泥舟登場シーン,偽物語,東京都文京区弥生1-1,35.718931,139.76033
スバルビル新宿の目/第３話の中盤、学習塾跡で阿良々木暦が戦場ヶ原に拘束されているシーン,偽物語,東京都新宿区西新宿1-7-2,35.691615,139.697345
大塚橋/8話,魔法少女まどか☆マギカ,東京都八王子市大塚,35.637959,139.422476
藤宮さんがクレープ屋のチラシを受け取る/2話/京王聖蹟桜ヶ丘ショッピングセンター前,一週間フレンズ。,東京都多摩市関戸1-10-1,35.650204,139.447356
クレープ屋が休みで長谷くんが悩むシーン/2話/聖蹟桜ヶ丘駅前交差点,一週間フレンズ。,東京都多摩市関戸1-11-16,35.650391,139.446798
クレープ屋が休みで向かうカラオケ屋/2話/府中駅,一週間フレンズ。,東京都府中市府中町1-8-1,35.672707,139.480434
日野の悪夢の舞台/全話共通/市立中央図書館,図書館戦争,東京都日野市豊田2-49,35.655981,139.382309
甲州街道/全話共通/甲州街道,言の葉の庭,東京都新宿区西新宿1-20-1,35.687913,139.695959
国立天文台(三鷹)の大赤道儀室,極黒のブリュンヒルデ,東京都三鷹市大沢2−21−1,35.675447,139.53767
多摩センタ駅前・背景ビルはなし/OP,とある科学の超電磁砲S,東京都多摩市落合1-10-1,35.625094,139.42402
目標の地/全話共通/東京ドーム,アイドルマスターシンデレラガールズ,東京都文京区後楽1−3−61,35.704663,139.753342
とんかつ富貴/9話/とんかつ富貴,ラブライブ！,東京都千代田区外神田3-11-11,35.70035,139.770672
琴里の背景モチーフ/全話共通/原町田中央通り,デート・ア・ライブ,東京都町田市原町田6丁目,35.544148,139.446299
町田天満宮/PV、OP、4話/町田天満宮,デート・ア・ライブ,東京都町田市原町田1-21-5,35.538318,139.45169
藤宮さんがクレープ屋のチラシを受け取る/2話/京王聖蹟桜ヶ丘ショッピングセンター前,一週間フレンズ。,東京都多摩市関戸1-10-1,35.650204,139.447356
東京タワー,メルヘヴン,東京都港区芝公園4-2-8,,
秋葉原周辺,メルヘヴン,東京都千代田区外神田,,
早乙女学園のモデル/全話共通/恵比寿ガーデンプレイス,うたのプリンスさまっ,東京都渋谷区恵比寿4−20,35.643163,139.713234
偽デートスタート/2話/神宮橋歩道橋,ニセコイ,東京都渋谷区神宮前六丁目,35.667388,139.705353
帝光中学校/拓殖大学第一高等学校,黒子のバスケ,東京都武蔵村山市大南4-64-5,35.73329,139.413695
都立大学駅周辺/東急東横線都立大学駅,化物語,東京都目黒区中根1-5-1,35.617187,139.675952
北赤羽駅赤羽口を埼京線の高架線と斜めに交差する道路から見た光景/第六話/北赤羽駅赤羽口,とらドラ！,東京都北区赤羽北2-27,35.786382,139.706793
